date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,label
3/11/2018,12,2,0,11.4,3,31,4:43 AM,2:17 PM,8:04 AM,7:47 PM,-3,5,6,5,9,31,54,0,1022,12,10,140,5,83706,0
3/12/2018,13,3,0,11.5,3,24,5:28 AM,3:10 PM,8:02 AM,7:48 PM,-1,5,7,5,18,4,57,0,1023,13,10,125,11,83706,0
3/13/2018,17,4,0,11.5,4,16,6:08 AM,4:06 PM,8:00 AM,7:49 PM,0,8,10,8,36,15,49,0,1014,17,10,124,22,83706,0
3/14/2018,10,6,0,10.2,3,9,6:45 AM,5:06 PM,7:59 AM,7:50 PM,3,6,8,6,14,59,71,5.1,1008,10,10,167,9,83706,1
3/15/2018,7,2,0,10.2,2,2,7:18 AM,6:07 PM,7:57 AM,7:51 PM,-1,2,4,2,11,41,70,0.4,1009,7,10,290,8,83706,1
3/16/2018,7,2,0,11.6,2,0,7:49 AM,7:10 PM,7:55 AM,7:53 PM,-2,1,4,1,25,52,62,0.5,1010,7,9,126,17,83706,1
3/17/2018,5,2,0.6,6,1,0,8:17 AM,8:14 PM,7:53 AM,7:54 PM,-1,2,3,2,8,88,74,4.4,1010,5,9,224,6,83706,1
3/18/2018,7,1,0.5,11.6,2,5,8:46 AM,9:21 PM,7:52 AM,7:55 PM,-3,1,3,1,12,40,65,0.5,1019,7,9,234,8,83706,1
3/19/2018,9,1,0,8.8,1,13,9:16 AM,10:27 PM,7:50 AM,7:56 PM,-4,2,4,2,15,48,53,0.1,1023,9,10,120,8,83706,1
3/20/2018,9,3,0,10.2,3,20,9:47 AM,11:36 PM,7:48 AM,7:57 PM,-2,4,5,4,15,48,60,0,1019,9,10,111,8,83706,0
3/21/2018,13,4,0,10.2,3,27,10:21 AM,No moonset,7:46 AM,7:59 PM,1,5,8,5,32,47,63,1.4,1011,13,9,120,20,83706,1
3/22/2018,12,8,0,6.3,2,34,11:01 AM,12:45 AM,7:44 AM,8:00 PM,5,7,10,7,32,83,75,9.8,1006,12,9,146,19,83706,1
3/23/2018,10,2,0,11.6,3,42,11:47 AM,1:53 AM,7:43 AM,8:01 PM,-2,5,6,5,8,25,59,0.1,1013,10,10,221,5,83706,1
3/24/2018,7,3,0,11.6,2,49,12:39 PM,2:57 AM,7:41 AM,8:02 PM,-7,2,5,2,19,20,44,0,1012,7,10,224,12,83706,0
3/25/2018,4,1,4.3,9,1,56,1:40 PM,3:57 AM,7:39 AM,8:03 PM,-3,0,2,0,10,67,72,5.1,1015,4,8,254,6,83706,1
3/26/2018,6,-3,0,11.6,2,63,2:45 PM,4:50 AM,7:37 AM,8:04 PM,-5,-2,1,-2,18,7,62,0,1025,6,10,324,12,83706,0
